timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1363410000,Mar 16 2013 - 5:00am,complete,3376,Gwangju,Sangju Sangmu,N/A,1,0.00,0.00,1.35,2.20,0,3,3,1,0,1,"","30,59,73",-1,-1,1,0,2,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gwangju World Cup Stadium
1363417200,Mar 16 2013 - 7:00am,complete,1147,Suwon,Bucheon 1995,N/A,1,0.00,0.00,1.21,1.27,2,3,5,1,1,0,"12,83","50,54,88",-1,-1,2,0,4,0,1,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Suwon Civil Stadium
1363496400,Mar 17 2013 - 5:00am,complete,4157,Chungju,Asan Mugunghwa,N/A,1,0.00,0.00,0.70,1.83,1,3,4,2,1,1,"18","25,54,65",-1,-1,0,0,2,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Chungju Stadium (Chungju)
1363496400,Mar 17 2013 - 5:00am,complete,3398,Anyang,Goyang Zaicro,N/A,1,0.00,0.00,1.14,1.20,1,1,2,1,1,0,"2","78",-1,-1,1,0,2,0,0,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Anyang Stadium
1364014800,Mar 23 2013 - 5:00am,complete,3084,Bucheon 1995,Goyang Zaicro,N/A,2,0.00,1.00,0.70,1.20,3,1,4,2,1,1,"44,71,90'3","5",-1,-1,1,0,2,0,1,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,1.00,50,50,0,0,0,0,50,0,50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Bucheon Stadium
1364022000,Mar 23 2013 - 7:00am,complete,9708,Sangju Sangmu,Suwon,N/A,2,0.00,0.00,2.20,1.50,1,1,2,0,0,0,"79","90'3",-1,-1,1,0,2,1,0,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sangju Stadium
1364101200,Mar 24 2013 - 5:00am,complete,1221,Gwangju,Chungju,N/A,2,0.00,0.00,1.35,1.00,0,1,1,0,0,0,"","90'1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,1.50,0,50,50,0,0,0,50,50,50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gwangju World Cup Stadium
1364619600,Mar 30 2013 - 5:00am,complete,2684,Bucheon 1995,Asan Mugunghwa,N/A,3,3.00,3.00,0.70,1.83,0,3,3,0,0,0,"","62,82,90'2",-1,-1,2,0,1,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,4.00,100,100,100,100,0,100,100,100,100,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Bucheon Stadium
1364619600,Mar 30 2013 - 5:00am,complete,2098,Goyang Zaicro,Suwon,N/A,3,0.00,1.00,1.15,1.50,1,1,2,1,1,0,"25","62",-1,-1,1,0,3,0,1,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,1.00,50,50,0,0,0,0,0,50,50,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Goyang Stadium
1364706000,Mar 31 2013 - 5:00am,complete,2576,Chungju,Sangju Sangmu,N/A,3,0.00,3.00,0.70,2.20,0,0,0,0,0,0,"","",-1,-1,2,0,2,0,0,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.50,50,100,100,50,0,50,100,100,100,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Chungju Stadium (Chungju)
1364706000,Mar 31 2013 - 5:00am,complete,2934,Anyang,Gwangju,N/A,3,1.00,0.00,1.14,1.73,1,2,3,0,0,0,"81","69,74",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,1.00,50,50,0,0,0,0,50,0,50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Anyang Stadium
1365231600,Apr 06 2013 - 7:00am,complete,1035,Sangju Sangmu,Bucheon 1995,N/A,4,1.00,3.00,2.20,1.27,1,1,2,1,1,0,"21","62",-1,-1,0,0,2,0,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.50,100,100,50,50,50,0,50,100,100,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sangju Stadium
1365231600,Apr 06 2013 - 7:00am,complete,470,Goyang Zaicro,Asan Mugunghwa,N/A,4,1.00,3.00,1.15,1.83,1,2,3,3,1,2,"8","17,36",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.75,75,100,50,25,0,25,75,50,100,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Goyang Stadium
1365310800,Apr 07 2013 - 5:00am,complete,1232,Chungju,Anyang,N/A,4,0.50,0.00,0.70,1.50,1,4,5,1,0,1,"83","29,66,75,85",-1,-1,4,0,2,0,2,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,1.00,25,25,25,25,0,25,25,25,25,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Chungju Stadium (Chungju)
1365310800,Apr 07 2013 - 5:00am,complete,846,Gwangju,Suwon,N/A,4,0.00,1.00,1.35,1.50,3,4,7,3,1,2,"7,59,81","17,20,61,74",-1,-1,1,0,1,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.00,50,75,25,0,0,0,50,50,100,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gwangju World Cup Stadium
1365836400,Apr 13 2013 - 7:00am,complete,1381,Sangju Sangmu,Gwangju,N/A,10,1.00,3.00,2.20,1.73,2,1,3,0,0,0,"57,82","69",-1,-1,3,0,3,0,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.50,100,100,50,0,0,0,25,75,100,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sangju Stadium
1366434000,Apr 20 2013 - 5:00am,complete,358,Gwangju,Goyang Zaicro,N/A,5,0.00,0.50,1.35,1.20,1,1,2,0,0,0,"90'1","89",-1,-1,0,0,2,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.34,67,84,59,42,17,42,84,59,100,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gwangju World Cup Stadium
1366441200,Apr 20 2013 - 7:00am,complete,1126,Sangju Sangmu,Asan Mugunghwa,N/A,5,1.67,3.00,2.20,1.83,1,1,2,1,0,1,"61","16",-1,-1,1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.83,84,100,67,17,0,34,50,67,84,0.00,2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sangju Stadium
1366520400,Apr 21 2013 - 5:00am,complete,505,Suwon,Chungju,N/A,5,0.00,3.00,1.21,1.00,1,2,3,1,0,1,"60","44,54",-1,-1,1,0,3,0,0,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.00,50,50,50,50,50,0,50,50,100,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Suwon Civil Stadium
1366520400,Apr 21 2013 - 5:00am,complete,2611,Bucheon 1995,Anyang,N/A,5,1.50,3.00,0.70,1.50,3,0,3,2,2,0,"8,45'2,78","",-1,-1,2,0,5,0,2,0,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,4.25,75,100,100,75,50,25,75,100,100,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Bucheon Stadium
1367038800,Apr 27 2013 - 5:00am,complete,1159,Chungju,Bucheon 1995,N/A,6,0.33,2.00,0.70,1.27,1,2,3,0,0,0,"62","46,84",-1,-1,1,0,3,1,1,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.25,84,84,59,59,42,17,84,59,84,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Chungju Stadium (Chungju)
1367046000,Apr 27 2013 - 7:00am,complete,475,Goyang Zaicro,Sangju Sangmu,N/A,6,0.50,2.00,1.15,2.20,1,1,2,0,0,0,"73","64",-1,-1,1,0,2,0,0,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.00,50,75,50,0,0,25,75,25,50,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Goyang Stadium
1367125200,Apr 28 2013 - 5:00am,complete,583,Gwangju,Asan Mugunghwa,N/A,6,0.25,2.50,1.35,1.83,0,2,2,1,0,1,"","34,90'2",-1,-1,2,0,2,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.13,63,88,63,25,13,38,63,63,88,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gwangju World Cup Stadium
1367132400,Apr 28 2013 - 7:00am,complete,2194,Anyang,Suwon,N/A,6,0.50,1.67,1.14,1.50,2,2,4,2,1,1,"6,90'5","30,89",-1,-1,0,0,2,1,0,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.09,100,100,42,17,17,17,59,59,100,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Anyang Stadium
