team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Gangwon FC,Gangwon,2016,South Korea,42,21,21,0,21,11,10,9,4,5,12,6,6,1.71,1.76,1.67,4,3,3,1,53,34,19,87,43,44,28,25,15,19,13,6,71,68,76,111,127,100,19,10,9,17,8,9,11,5,6,25,14,11,18,18,0,99,40,59,0,0,0,52,49,3,31,28,3,21,21,0,0,0,0,21,12,9,13,5,8,8,7,1,16,9,7,17,10,7,9,2,7,1.55,1.76,1.33,2.07,2.05,2.1,1.26,1.33,1.19,0.81,0.71,0.9,0.81,0.81,0.81,0.5,0.57,0.43,0.31,0.24,0.38,37,25,17,7,1,0,19,13,8,2,1,0,18,12,9,5,0,0,5,17,25,35,41,42,2,8,13,19,20,21,3,9,12,16,21,21,88,60,40,17,2,0,90,62,38,10,5,0,86,57,43,24,0,0,12,40,60,83,98,100,10,38,62,90,95,100,14,43,57,76,100,100,27,6,1,13,4,0,14,2,1,64,14,2,62,19,0,67,10,5,50,52,48,9,45,48,43,40,38,43,26,24,29,60,67,52,31,17,14,74,81,67,23,10,13,55,48,62,3,2,1,7,10,5,38,43,33,40,48,33,21,10,33,3.60,4.50,0.00,2.36,1.9,2.81,60,40,20,20,20,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,50,2,6,1,5,12,3,3,10,11,3,2,1,2,8,4,2,3,9,21,19,24,29,29,29,0
Daegu FC,Daegu,2016,South Korea,40,20,20,0,19,6,13,13,9,4,8,5,3,1.75,1.35,2.15,1,9,1,2,53,36,17,89,36,53,18,35,18,18,0,17,68,100,51,100,100,100,17,8,9,21,10,11,7,6,1,20,9,11,22,8,14,83,41,42,0,0,0,61,26,35,35,14,21,26,12,14,0,0,0,17,6,11,18,7,11,-1,-1,0,9,3,6,23,13,10,8,4,4,1.25,1.1,1.4,2.23,1.8,2.65,1.33,0.9,1.75,0.9,0.9,0.9,0.88,0.65,1.1,0.43,0.3,0.55,0.45,0.35,0.55,35,26,16,8,4,0,16,10,7,3,0,0,19,16,9,5,4,0,5,14,24,32,36,40,4,10,13,17,20,20,1,4,11,15,16,20,88,65,40,20,10,0,80,50,35,15,0,0,95,80,45,25,20,0,12,35,60,80,90,100,20,50,65,85,100,100,5,20,55,75,80,100,24,10,1,10,3,0,14,7,1,60,25,3,50,15,0,70,35,5,48,30,65,0,43,40,45,53,50,55,18,30,5,50,45,55,25,13,12,63,65,60,24,14,10,60,70,50,7,3,4,18,15,20,23,15,30,58,65,50,20,20,20,4.40,4.00,4.67,2.13,2.05,2.21,40,40,40,40,40,40,0,0,0.00,0.00,0.00,0.00,0.00,0.00,48,6,2,3,3,8,8,6,10,7,1,5,6,2,8,5,2,2,5,33,45,20,20,25,15,0
Daejeon Citizen FC,Daejeon Citizen,2016,South Korea,40,20,20,0,15,11,4,10,5,5,15,4,11,1.38,1.9,0.85,8,2,8,8,56,52,4,108,54,54,35,21,19,33,16,-12,64,51,86,69,95,55,8,6,2,22,11,11,13,5,8,21,13,8,11,5,6,79,37,42,0,0,0,34,5,29,24,2,22,10,3,7,0,0,0,32,21,11,21,7,14,11,14,-3,14,10,4,16,7,9,10,3,7,1.45,1.85,1.05,2.7,2.7,2.7,1.4,1.75,1.05,1.3,0.95,1.65,1.33,1.4,1.25,0.8,1.05,0.55,0.53,0.35,0.7,37,29,21,11,5,2,18,15,11,7,3,0,19,14,10,4,2,2,3,11,19,29,35,38,2,5,9,13,17,20,1,6,10,16,18,18,93,73,53,28,13,5,90,75,55,35,15,0,95,70,50,20,10,10,7,27,47,72,87,95,10,25,45,65,85,100,5,30,50,80,90,90,28,15,6,15,9,3,13,6,3,70,38,15,75,45,15,65,30,15,38,55,20,26,20,30,10,55,55,55,33,25,40,53,65,40,25,15,10,63,75,50,19,7,12,48,35,60,8,3,5,20,15,25,35,50,20,40,35,45,25,15,35,2.75,5.00,2.00,2.03,1.85,2.21,75,25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,65,8,5,6,11,6,7,4,4,5,5,2,8,2,5,5,5,7,13,25,25,25,38,20,55,0
Busan I'Park,Busan I'Park,2016,South Korea,41,20,21,0,19,9,10,7,5,2,15,6,9,1.56,1.6,1.52,5,6,4,6,52,40,12,92,51,41,29,23,22,18,7,5,71,62,82,92,82,105,16,8,8,17,10,7,11,5,6,19,10,9,11,11,0,84,36,48,0,0,0,22,22,0,14,14,0,8,8,0,0,0,0,13,4,9,13,6,7,0,-2,2,7,3,4,26,13,13,8,4,4,1.15,1.1,1.19,2.24,2.55,1.95,1.27,1.45,1.1,0.98,1.1,0.86,0.63,0.5,0.76,0.32,0.2,0.43,0.32,0.3,0.33,38,27,16,8,3,0,17,17,10,5,2,0,21,10,6,3,1,0,3,14,25,33,38,41,3,3,10,15,18,20,0,11,15,18,20,21,93,66,39,20,7,0,85,85,50,25,10,0,100,48,29,14,5,0,7,34,61,80,93,100,15,15,50,75,90,100,0,52,71,86,95,100,18,7,1,7,2,1,11,5,0,44,17,2,35,10,5,52,24,0,46,45,48,1,39,40,38,41,50,33,27,25,29,46,50,43,29,15,14,71,75,67,31,17,14,76,85,67,4,1,3,10,5,14,17,15,19,63,65,62,20,20,19,5.50,5.50,0.00,2.1,1.89,2.29,100,100,50,50,50,50,0,0,0.00,0.00,0.00,0.00,0.00,0.00,54,3,1,4,3,7,7,6,5,16,4,4,0,4,3,6,1,7,11,17,25,10,37,30,43,0
Gyeongnam FC,Gyeongnam,2016,South Korea,40,20,20,0,18,11,7,6,2,4,16,7,9,1.5,1.75,1.25,7,4,7,7,61,58,3,119,62,57,37,24,25,33,12,-9,59,49,75,62,72,55,8,6,2,23,10,13,11,4,7,20,13,7,12,9,3,65,31,34,0,0,0,50,37,13,22,18,4,28,19,9,0,0,0,31,20,11,21,9,12,10,11,-1,14,9,5,18,9,9,8,2,6,1.5,1.8,1.2,2.98,3.1,2.85,1.53,1.85,1.2,1.45,1.25,1.65,1.3,1.45,1.15,0.78,1,0.55,0.53,0.45,0.6,38,32,22,12,8,3,20,16,10,5,4,3,18,16,12,7,4,0,2,8,18,28,32,37,0,4,10,15,16,17,2,4,8,13,16,20,95,80,55,30,20,8,100,80,50,25,20,15,90,80,60,35,20,0,5,20,45,70,80,92,0,20,50,75,80,85,10,20,40,65,80,100,27,13,5,13,7,4,14,6,1,68,33,13,65,35,20,70,30,5,45,55,35,18,20,30,10,58,50,65,28,20,35,50,65,35,23,13,10,58,65,50,21,9,12,53,45,60,9,5,4,23,25,20,35,45,25,45,45,45,20,10,30,4.00,4.50,3.00,1.71,1.72,1.70,33,33,33,33,33,33,33,33,0.00,0.00,0.00,0.00,0.00,0.00,98,6,7,7,6,7,8,2,5,13,4,1,6,8,4,12,11,4,8,15,10,20,40,35,45,0
FC Anyang,Anyang,2016,South Korea,40,20,20,0,11,9,2,13,5,8,16,6,10,1.15,1.6,0.7,9,7,10,9,40,53,-13,93,47,46,25,15,22,31,3,-16,90,72,120,68,82,58,10,6,4,20,10,10,14,6,8,15,10,5,26,16,10,88,43,45,0,0,0,44,30,14,19,14,5,25,16,9,0,0,0,16,10,6,21,10,11,-5,0,-5,7,5,2,24,11,13,9,4,5,1.13,1.3,0.95,2.33,2.35,2.3,1,1.25,0.75,1.33,1.1,1.55,0.93,1,0.85,0.4,0.5,0.3,0.53,0.5,0.55,36,25,16,11,5,0,18,11,9,6,3,0,18,14,7,5,2,0,4,15,24,29,35,40,2,9,11,14,17,20,2,6,13,15,18,20,90,63,40,28,13,0,90,55,45,30,15,0,90,70,35,25,10,0,10,37,60,72,87,100,10,45,55,70,85,100,10,30,65,75,90,100,21,12,4,12,6,2,9,6,2,53,30,10,60,30,10,45,30,10,28,45,10,21,25,30,20,50,50,50,35,30,40,38,50,25,25,12,13,63,60,65,26,11,15,65,55,75,8,5,3,20,25,15,18,25,10,60,55,65,23,20,25,6.50,8.00,5.00,2.2,2.15,2.25,75,75,75,75,75,50,50,50,0.00,0.00,0.00,0.00,0.00,0.00,65,3,5,6,1,3,8,4,0,10,7,1,4,4,11,9,4,1,12,33,25,40,40,30,50,25
Asan Mugunghwa FC,Asan Mugunghwa,2016,South Korea,40,20,20,0,21,12,9,7,4,3,12,4,8,1.75,2,1.5,2,1,6,3,57,55,2,112,54,58,33,24,21,34,12,-10,63,55,75,65,86,53,13,7,6,18,10,8,12,4,8,22,13,9,6,0,6,81,38,43,0,0,0,9,0,9,8,0,8,1,0,1,0,0,0,25,13,12,23,7,16,2,6,-4,13,6,7,19,13,6,8,1,7,1.45,1.55,1.35,2.8,2.7,2.9,1.43,1.65,1.2,1.38,1.05,1.7,1.2,1,1.4,0.63,0.65,0.6,0.58,0.35,0.8,37,30,21,14,6,1,19,16,10,6,3,0,18,14,11,8,3,1,3,10,19,26,34,39,1,4,10,14,17,20,2,6,9,12,17,19,93,75,53,35,15,3,95,80,50,30,15,0,90,70,55,40,15,5,7,25,47,65,85,97,5,20,50,70,85,100,10,30,45,60,85,95,25,13,7,11,7,2,14,6,5,63,33,18,55,35,10,70,30,25,53,60,45,20,33,35,30,45,50,40,30,20,40,55,65,45,27,14,13,68,70,65,21,10,11,53,50,55,7,5,2,18,25,10,33,30,35,48,65,30,20,5,35,3.00,0.00,3.00,2.25,2.11,2.39,50,50,50,50,50,50,0,0,0.00,0.00,0.00,0.00,0.00,0.00,85,7,3,7,5,7,11,5,4,8,4,6,5,5,11,2,3,6,13,18,20,15,30,20,40,0
Seoul E-Land FC,Seoul E-Land,2016,South Korea,40,20,20,0,17,8,9,13,10,3,10,2,8,1.6,1.7,1.5,6,5,5,5,47,35,12,82,38,44,24,23,14,21,10,2,76,75,78,102,129,86,17,9,8,19,10,9,8,4,4,22,11,11,25,17,8,88,38,50,0,0,0,37,28,9,24,18,6,13,10,3,0,0,0,19,10,9,18,8,10,1,2,-1,12,6,6,18,10,8,10,4,6,1.35,1.4,1.3,2.05,1.9,2.2,1.18,1.2,1.15,0.88,0.7,1.05,0.93,0.9,0.95,0.48,0.5,0.45,0.45,0.4,0.5,36,29,12,4,1,0,17,16,4,1,0,0,19,13,8,3,1,0,4,11,28,36,39,40,3,4,16,19,20,20,1,7,12,17,19,20,90,73,30,10,3,0,85,80,20,5,0,0,95,65,40,15,5,0,10,27,70,90,97,100,15,20,80,95,100,100,5,35,60,85,95,100,26,8,2,13,5,0,13,3,2,65,20,5,65,25,0,65,15,10,43,40,45,11,43,45,40,48,50,45,20,20,20,55,55,55,25,13,12,63,65,60,23,11,12,58,55,60,6,3,3,15,15,15,30,30,30,45,50,40,25,20,30,5.00,4.25,8.00,2.32,2,2.63,40,40,40,40,40,20,0,0,0.00,0.00,0.00,0.00,0.00,0.00,35,3,0,8,2,11,5,3,4,11,3,3,6,3,4,5,4,5,2,33,50,15,25,10,40,0
Goyang Zaicro FC,Goyang Zaicro,2016,South Korea,40,20,20,0,2,1,1,10,3,7,28,16,12,0.4,0.3,0.5,11,11,11,11,21,72,-51,93,41,52,8,13,33,39,-25,-26,170,225,138,50,55,46,7,4,3,14,5,9,25,14,11,5,3,2,7,0,7,92,41,51,0,0,0,16,0,16,7,0,7,9,0,9,0,0,0,11,5,6,35,17,18,-24,-12,-12,1,0,1,21,10,11,18,10,8,0.6,0.5,0.7,2.33,2.05,2.6,0.53,0.4,0.65,1.8,1.65,1.95,1.15,1.1,1.2,0.28,0.25,0.3,0.88,0.85,0.9,34,23,17,10,6,2,17,9,8,4,2,1,17,14,9,6,4,1,6,17,23,30,34,38,3,11,12,16,18,19,3,6,11,14,16,19,85,58,43,25,15,5,85,45,40,20,10,5,85,70,45,30,20,5,15,42,57,75,85,95,15,55,60,80,90,95,15,30,55,70,80,95,26,12,4,13,5,2,13,7,2,65,30,10,65,25,10,65,35,10,5,5,5,-9,18,20,15,35,25,45,63,70,55,13,15,10,15,7,8,38,35,40,30,16,14,75,80,70,9,4,5,23,20,25,3,0,5,53,50,55,45,50,40,3.50,0.00,3.50,2.36,2.16,2.55,50,50,50,50,50,50,50,50,0.00,0.00,0.00,0.00,0.00,0.00,70,0,4,3,4,0,6,1,2,1,8,5,10,9,9,9,5,8,9,25,15,35,70,80,60,50
Bucheon FC 1995,Bucheon 1995,2016,South Korea,41,21,20,0,19,9,10,10,3,7,12,9,3,1.63,1.43,1.85,3,8,2,4,50,35,15,85,50,35,27,23,23,12,4,11,74,70,78,106,82,150,19,6,13,16,10,6,11,6,5,23,12,11,14,10,4,92,46,46,0,0,0,25,8,17,13,5,8,12,3,9,0,0,0,19,12,7,11,6,5,8,6,2,11,8,3,26,10,16,4,3,1,1.44,1.62,1.25,2.07,2.38,1.75,1.22,1.29,1.15,0.85,1.1,0.6,0.73,0.86,0.6,0.46,0.57,0.35,0.27,0.29,0.25,36,24,13,8,4,0,20,13,8,6,3,0,16,11,5,2,1,0,5,17,28,33,37,41,1,8,13,15,18,21,4,9,15,18,19,20,88,59,32,20,10,0,95,62,38,29,14,0,80,55,25,10,5,0,12,41,68,80,90,100,5,38,62,71,86,100,20,45,75,90,95,100,19,9,2,12,4,2,7,5,0,46,22,5,57,19,10,35,25,0,46,43,50,-12,46,29,65,39,48,30,27,29,25,56,57,55,31,15,16,76,71,80,26,12,14,63,57,70,6,3,3,15,14,15,27,38,15,63,48,80,10,14,5,4.67,10.00,2.00,2.36,2.19,2.56,100,67,67,67,67,33,33,0,0.00,0.00,0.00,0.00,0.00,0.00,46,5,3,2,4,10,6,4,8,8,4,3,2,0,4,4,3,7,8,24,14,35,29,43,15,0
