timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1645851600,Feb 26 2022 - 5:00am,complete,N/A,Daegu II,Yeoju Sejong,N/A,1,0.00,0.00,1.50,0.88,5,2,7,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Daegu Stadium (Daegu)
1645851600,Feb 26 2022 - 5:00am,complete,N/A,Pyeongchang United,Chungju Citizen,N/A,1,0.00,0.00,1.00,1.67,1,1,2,1,0,1,"73","22",7,1,0,0,2,0,0,0,1,1,11,8,6,3,5,5,-1,-1,50,50,1.40,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Pyeongchangjinbu-myeon People's Sports Park (Pyeongchang)
1645851600,Feb 26 2022 - 5:00am,complete,N/A,Jeonju,Jungnang Chorus Mustang,N/A,1,0.00,0.00,1.33,0.00,3,1,4,1,1,0,"39,74,9001","63",5,10,1,0,2,1,0,1,1,2,14,17,5,4,9,13,-1,-1,47,53,1.66,2.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Jeonju World Cup Stadium (Jeonju)
1645855200,Feb 26 2022 - 6:00am,complete,N/A,Yangpyeong,Gangwon II,N/A,1,0.00,0.00,2.29,1.57,1,0,1,1,1,0,"30","",1,4,2,0,2,0,0,2,0,2,8,15,5,6,3,9,-1,-1,47,53,1.14,1.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Yangpyeong Sports Complex (Yangpyeong)
1645855200,Feb 26 2022 - 6:00am,complete,N/A,Namdong,Jinju Citizen,N/A,1,0.00,0.00,1.50,1.33,2,2,4,0,0,0,"53,61","75,80",4,7,4,0,2,0,0,4,1,1,10,9,7,5,3,4,-1,-1,50,50,1.33,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Namdong Industrial Complex Neighborhood Park (Incheon)
1645938000,Feb 27 2022 - 5:00am,canceled,N/A,Goyang Citizen,Chuncheon,N/A,1,0.00,0.00,0.00,1.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Goyang Oulimnuri Byulmuri Stadium (Goyang)
1645941600,Feb 27 2022 - 6:00am,complete,N/A,Pyeongtaek Citizen,Seoul United,N/A,1,0.00,0.00,1.33,1.22,1,0,1,0,0,0,"52","",0,5,3,0,1,0,0,3,0,1,10,10,6,4,4,6,-1,-1,52,48,1.26,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Pyeongtaek Ichon Leports Stadium (Pyeongtaek)
1645941600,Feb 27 2022 - 6:00am,complete,N/A,Goyang KH,Geoje Citizen,N/A,1,0.00,0.00,2.38,2.00,1,1,2,1,0,1,"71","32",6,4,2,0,0,0,1,1,0,0,9,6,4,4,5,2,-1,-1,48,52,1.10,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Goyang Auxiliary Stadium (Goyang)
1645941600,Feb 27 2022 - 6:00am,complete,N/A,Daejeon Hana Citizen II,Jeonbuk Motors II,N/A,1,0.00,0.00,2.14,0.67,3,0,3,2,2,0,"5,30,9005","",3,3,1,0,2,0,0,1,2,0,8,13,6,7,2,6,-1,-1,48,52,1.22,1.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Daejeon World Cup Secondary Stadium (Daejeon)
1646452800,Mar 05 2022 - 4:00am,complete,N/A,Jungnang Chorus Mustang,Pyeongtaek Citizen,N/A,2,0.00,0.00,1.60,0.75,3,0,3,1,1,0,"15,82,87","",3,5,2,0,0,0,1,1,0,0,13,12,9,3,4,9,-1,-1,50,50,1.71,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.40,1.75,0.00,0.00,0.00,0.00,0.00,0.00,Jungnang Sport Center (Seoul)
