team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Hwaseong FC,Hwaseong,2019,South Korea,24,12,12,0,18,8,10,2,1,1,4,3,1,2.33,2.08,2.58,1,2,1,1,46,19,27,65,36,29,24,22,12,7,12,15,47,45,49,114,90,155,14,6,8,8,5,3,2,1,1,6,6,0,11,3,8,0,0,0,50,51,50,18,3,15,10,2,8,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71,3,2.42,1.92,2,1.83,0.79,1,0.58,0,0,0,0,0,0,0,0,0,24,16,12,4,3,3,12,9,6,3,2,2,12,7,6,1,1,1,0,8,12,20,21,21,0,3,6,9,10,10,0,5,6,11,11,11,100,67,50,17,13,13,100,75,50,25,17,17,100,58,50,8,8,8,0,33,50,83,87,87,0,25,50,75,83,83,0,42,50,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,67,83,-12,58,50,67,33,42,25,8,8,8,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,3.00,4.00,0,0,0.00,33,33,33,33,33,0,0,0,0.24,0.00,0.62,0.10,0.00,0.44,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,17,25,8,0
Pyeongtaek Citizen FC,Pyeongtaek Citizen,2019,South Korea,22,11,11,0,3,2,1,2,2,0,17,7,10,0.5,0.73,0.27,12,12,11,12,23,47,-24,70,36,34,12,11,24,23,-12,-12,86,83,90,42,41,43,2,1,1,14,7,7,6,3,3,1,1,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,3.27,3.09,1.05,1.09,1,2.14,2.18,2.09,0,0,0,0,0,0,0,0,0,22,16,13,9,5,3,11,9,6,5,3,2,11,7,7,4,2,1,0,6,9,13,17,19,0,2,5,6,8,9,0,4,4,7,9,10,100,73,59,41,23,14,100,82,55,45,27,18,100,64,64,36,18,9,0,27,41,59,77,86,0,18,45,55,73,82,0,36,36,64,82,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,9,1,9,9,9,64,64,64,27,27,27,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,77,64,91,0
Paju Citizen FC,Paju Citizen,2019,South Korea,22,11,11,0,11,5,6,2,2,0,9,4,5,1.59,1.55,1.64,6,7,7,6,30,26,4,56,25,31,14,16,11,15,3,1,66,71,62,76,90,66,5,3,2,14,6,8,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2.55,2.27,2.82,1.36,1.27,1.45,1.18,1,1.36,0,0,0,0,0,0,0,0,0,21,17,13,4,1,0,10,7,5,2,1,0,11,10,8,2,0,0,1,5,9,18,21,22,1,4,6,9,10,11,0,1,3,9,11,11,95,77,59,18,5,0,91,64,45,18,9,0,100,91,73,18,0,0,5,23,41,82,95,100,9,36,55,82,91,100,0,9,27,82,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,55,4,23,27,18,64,55,73,18,27,9,9,18,0,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,41,36,45,0
Yangpyeong FC,Yangpyeong,2019,South Korea,26,13,13,0,15,8,7,2,1,1,9,4,5,1.81,1.92,1.69,4,1,2,2,46,32,14,78,43,35,28,18,15,17,13,1,51,42,65,73,78,69,7,3,4,14,9,5,6,2,4,2,2,0,8,5,3,0,0,0,50,50,49,6,4,2,2,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,3,3.31,2.69,1.77,2.15,1.38,1.23,1.15,1.31,0,0,0,0,0,0,0,0,0,25,20,18,9,4,1,12,11,11,4,3,1,13,9,7,5,1,0,1,6,8,17,22,25,1,2,2,9,10,12,0,4,6,8,12,13,96,77,69,35,15,4,92,85,85,31,23,8,100,69,54,38,8,0,4,23,31,65,85,96,8,15,15,69,77,92,0,31,46,62,92,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,62,54,14,27,23,31,54,69,38,23,15,31,8,15,0,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,4.00,5.00,3.00,0,0,0.00,50,50,50,50,50,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,35,31,38,0
Siheung City Athletic Club,Siheung Citizen,2019,South Korea,22,11,11,0,8,3,5,5,2,3,9,6,3,1.32,1,1.64,7,9,6,7,22,25,-3,47,18,29,7,15,11,14,-4,1,90,141,66,79,90,71,7,3,4,10,4,6,6,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2.14,1.64,2.64,1,0.64,1.36,1.14,1,1.27,0,0,0,0,0,0,0,0,0,21,12,6,4,2,1,11,4,2,1,0,0,10,8,4,3,2,1,1,10,16,18,20,21,0,7,9,10,11,11,1,3,7,8,9,10,95,55,27,18,9,5,100,36,18,9,0,0,91,73,36,27,18,9,5,45,73,82,91,95,0,64,82,91,100,100,9,27,64,73,82,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,45,-12,32,27,36,45,36,55,27,36,18,14,27,0,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,27,41,55,27,0
Chungju Citizen FC,Chungju Citizen,2019,South Korea,22,11,11,0,3,3,0,3,1,2,16,7,9,0.55,0.91,0.18,11,10,12,11,17,40,-23,57,36,21,14,3,22,18,-8,-15,117,71,333,49,45,55,5,3,2,8,5,3,11,3,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,2.59,3.27,1.91,0.77,1.27,0.27,1.82,2,1.64,0,0,0,0,0,0,0,0,0,20,16,12,6,2,1,11,10,8,4,2,1,9,6,4,2,0,0,2,6,10,16,20,21,0,1,3,7,9,10,2,5,7,9,11,11,91,73,55,27,9,5,100,91,73,36,18,9,82,55,36,18,0,0,9,27,45,73,91,95,0,9,27,64,82,91,18,45,64,82,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,0,28,23,27,18,36,45,27,50,27,73,14,27,0,2,0,2,100,0,100,2,0,2,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,18,73,64,82,0
Cheongju FC,Cheongju,2019,South Korea,22,11,11,0,8,5,3,4,2,2,10,4,6,1.27,1.55,1,8,6,9,8,29,32,-3,61,32,29,18,11,14,18,4,-7,68,55,90,62,71,55,5,3,2,11,5,6,7,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2.77,2.91,2.64,1.32,1.64,1,1.45,1.27,1.64,0,0,0,0,0,0,0,0,0,21,17,12,7,3,1,10,8,6,5,2,1,11,9,6,2,1,0,1,5,10,15,19,21,1,3,5,6,9,10,0,2,5,9,10,11,95,77,55,32,14,5,91,73,55,45,18,9,100,82,55,18,9,0,5,23,45,68,86,95,9,27,45,55,82,91,0,18,45,82,91,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,45,27,18,23,27,18,50,45,55,32,36,27,9,18,0,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,45,36,55,0
Gimpo Citizen FC,Gimpo Citizen,2019,South Korea,23,12,11,0,12,7,5,6,2,4,5,3,2,1.83,1.92,1.73,3,5,4,4,28,20,8,48,25,23,13,15,12,8,1,7,74,83,66,103,90,123,9,4,5,11,5,6,7,5,2,2,2,0,3,3,0,0,0,0,50,50,0,10,10,0,3,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,1,1,1,2.09,2.08,2.09,1.22,1.08,1.36,0.87,1,0.73,0,0,0,0,0,0,0,0,0,19,14,10,2,2,1,10,7,6,1,1,0,9,7,4,1,1,1,4,9,13,21,21,22,2,5,6,11,11,12,2,4,7,10,10,10,83,61,43,9,9,4,83,58,50,8,8,0,82,64,36,9,9,9,17,39,57,91,91,96,17,42,50,92,92,100,18,36,64,91,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,58,45,-13,39,33,45,48,42,55,30,42,18,9,17,0,4,2,2,100,100,100,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.00,3.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.20,0.00,0.00,0.49,0.00,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,36,22,25,18,0
Pocheon FC,Pocheon,2019,South Korea,24,11,13,0,13,7,6,3,2,1,8,2,6,1.75,2.09,1.46,5,4,5,5,33,25,8,58,23,35,17,16,6,19,11,-3,65,58,73,87,164,62,8,6,2,10,4,6,7,2,5,5,5,0,0,0,0,0,0,0,50,50,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2.42,2.09,2.69,1.38,1.55,1.23,1.04,0.55,1.46,0,0,0,0,0,0,0,0,0,23,17,11,4,3,0,10,7,4,1,1,0,13,10,7,3,2,0,1,7,13,20,21,24,1,4,7,10,10,11,0,3,6,10,11,13,96,71,46,17,13,0,91,64,36,9,9,0,100,77,54,23,15,0,4,29,54,83,87,100,9,36,64,91,91,100,0,23,46,77,85,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,64,46,30,33,55,15,42,36,46,29,18,38,21,45,0,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,8,33,18,46,0
Icheon Citizen FC,Icheon Citizen,2019,South Korea,22,11,11,0,7,3,4,6,3,3,9,5,4,1.23,1.09,1.36,9,8,8,9,27,33,-6,60,27,33,10,17,17,16,-7,1,73,99,58,60,58,62,6,2,4,10,6,4,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,2.73,2.45,3,1.23,0.91,1.55,1.5,1.55,1.45,0,0,0,0,0,0,0,0,0,20,18,15,5,1,1,10,9,7,1,0,0,10,9,8,4,1,1,2,4,7,17,21,21,1,2,4,10,11,11,1,2,3,7,10,10,91,82,68,23,5,5,91,82,64,9,0,0,91,82,73,36,9,9,9,18,32,77,95,95,9,18,36,91,100,100,9,18,27,64,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,36,-15,27,18,36,45,55,36,36,36,36,5,9,0,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,41,45,36,0
